,season,round,circuit_id,lat,long,country,date,url
162,2009,6,monaco,43.7347,7.42056,Monaco,2009-05-24,http://en.wikipedia.org/wiki/2009_Monaco_Grand_Prix
163,2009,7,istanbul,40.9517,29.405,Turkey,2009-06-07,http://en.wikipedia.org/wiki/2009_Turkish_Grand_Prix
164,2009,8,silverstone,52.0786,-1.01694,UK,2009-06-21,http://en.wikipedia.org/wiki/2009_British_Grand_Prix
165,2009,9,nurburgring,50.3356,6.9475,Germany,2009-07-12,http://en.wikipedia.org/wiki/2009_German_Grand_Prix
166,2009,10,hungaroring,47.5789,19.2486,Hungary,2009-07-26,http://en.wikipedia.org/wiki/2009_Hungarian_Grand_Prix
167,2009,11,valencia,39.4589,-0.331667,Spain,2009-08-23,http://en.wikipedia.org/wiki/2009_European_Grand_Prix
168,2009,12,spa,50.4372,5.97139,Belgium,2009-08-30,http://en.wikipedia.org/wiki/2009_Belgian_Grand_Prix
169,2009,13,monza,45.6156,9.28111,Italy,2009-09-13,http://en.wikipedia.org/wiki/2009_Italian_Grand_Prix
170,2009,14,marina_bay,1.2914,103.864,Singapore,2009-09-27,http://en.wikipedia.org/wiki/2009_Singapore_Grand_Prix
171,2009,15,suzuka,34.8431,136.541,Japan,2009-10-04,http://en.wikipedia.org/wiki/2009_Japanese_Grand_Prix
172,2009,16,interlagos,-23.7036,-46.6997,Brazil,2009-10-18,http://en.wikipedia.org/wiki/2009_Brazilian_Grand_Prix
173,2009,17,yas_marina,24.4672,54.6031,UAE,2009-11-01,http://en.wikipedia.org/wiki/2009_Abu_Dhabi_Grand_Prix
174,2010,1,bahrain,26.0325,50.5106,Bahrain,2010-03-14,http://en.wikipedia.org/wiki/2010_Bahrain_Grand_Prix
175,2010,2,albert_park,-37.8497,144.968,Australia,2010-03-28,http://en.wikipedia.org/wiki/2010_Australian_Grand_Prix
176,2010,3,sepang,2.76083,101.738,Malaysia,2010-04-04,http://en.wikipedia.org/wiki/2010_Malaysian_Grand_Prix
177,2010,4,shanghai,31.3389,121.22,China,2010-04-18,http://en.wikipedia.org/wiki/2010_Chinese_Grand_Prix
178,2010,5,catalunya,41.57,2.26111,Spain,2010-05-09,http://en.wikipedia.org/wiki/2010_Spanish_Grand_Prix
179,2010,6,monaco,43.7347,7.42056,Monaco,2010-05-16,http://en.wikipedia.org/wiki/2010_Monaco_Grand_Prix
180,2010,7,istanbul,40.9517,29.405,Turkey,2010-05-30,http://en.wikipedia.org/wiki/2010_Turkish_Grand_Prix
181,2010,8,villeneuve,45.5,-73.5228,Canada,2010-06-13,http://en.wikipedia.org/wiki/2010_Canadian_Grand_Prix
182,2010,9,valencia,39.4589,-0.331667,Spain,2010-06-27,http://en.wikipedia.org/wiki/2010_European_Grand_Prix
